series,series_rating,episode_rating
Atlanta,8.6,8.392682926829268
Avatar: The Last Airbender,9.3,8.591803278688525
Band of Brothers,9.4,9.03
Better Call Saul,9.0,8.798412698412697
Black Mirror,8.7,7.612121212121211
BoJack Horseman,8.8,8.421052631578947
Breaking Bad,9.5,8.959677419354838
Chernobyl,9.3,9.52
Community,8.5,8.177272727272728
Dark,8.7,8.884615384615385
Fargo,8.8,8.31764705882353
Fleabag,8.7,8.4
Friends,8.9,8.288936170212766
Game of Thrones,9.2,8.736986301369862
Grey's Anatomy,7.6,7.902232142857143
House M.D.,8.7,8.365340909090909
How I Met Your Mother,8.3,8.006730769230769
Lost,8.3,8.478512396694216
Mad Men,8.7,8.418478260869565
Mr. Robot,8.5,8.89111111111111
Rick and Morty,9.1,8.126923076923077
Seinfeld,8.9,8.261627906976743
South Park,8.7,7.982242990654206
Stranger Things,8.6,8.576470588235296
The Office,8.75,8.07920792079208
The Simpsons,8.6,7.120304568527919
The Sopranos,9.2,8.60813953488372
The Twilight Zone,9.0,7.442948717948718
The Wire,9.3,8.576666666666666
True Detective,8.9,8.023333333333333
